,Vendor_name,model,MMIN,MMAX,PRP,ERP
0,amdahl,470v/7,8000,32000,269,253
1,amdahl,470v/7a,8000,32000,220,253
2,amdahl,470v/7b,8000,32000,172,253
3,amdahl,470v/7c,8000,16000,132,132
4,amdahl,470v/b,8000,32000,318,290
5,amdahl,580-5840,16000,32000,367,381
6,amdahl,580-5850,16000,32000,489,381
7,amdahl,580-5860,16000,64000,636,749
8,apollo,dn320,1000,3000,38,23
9,basf,7/65,2000,8000,92,70
10,basf,7/68,4000,16000,138,117
11,burroughs,b2925,1000,2000,31,22
12,burroughs,b4955,5000,5000,120,124
13,burroughs,b5900,1500,6300,30,35
14,burroughs,b5920,3100,6200,33,39
15,burroughs,b6900,2300,6200,61,40
16,burroughs,b6925,3100,6200,76,45
17,cdc,cyber:170/750,1310,2620,274,102
18,cdc,cyber:170/760,1310,2620,368,102
19,cdc,cyber:170/815,2620,10480,32,74
20,cdc,cyber:170/825,2620,10480,63,74
21,cdc,cyber:170/835,5240,20970,106,138
22,cdc,cyber:170/845,5240,20970,208,136
23,cdc,omega:480-ii,1000,4000,29,29
24,cdc,omega:480-iii,2000,8000,71,44
25,cambex,1636-1,1000,4000,26,30
26,cambex,1636-10,1000,8000,36,41
27,cambex,1641-1,2000,16000,40,74
28,cambex,1641-11,2000,16000,52,74
29,cambex,1651-1,2000,16000,60,74
30,dec,decsys:10:1091,1000,12000,72,54
31,dec,decsys:20:2060,1000,8000,72,41
32,dec,vax:11/730,1000,5000,20,28
33,dg,eclipse:mv/10000,1000,16000,138,72
34,dg,eclipse:mv/4000,1000,8000,36,36
35,dg,eclipse:mv/6000,1000,4000,26,30
36,dg,eclipse:mv/8000,1000,12000,60,56
37,dg,eclipse:mv/8000-ii,1000,8000,71,42
38,gould,concept:32/8705,2000,8000,144,75
39,gould,concept:32/8750,2000,16000,144,113
40,gould,concept:32/8780,2000,16000,259,157
41,hp,3000/44,1000,4000,32,28
42,hp,3000/48,2000,4000,32,33
43,hp,3000/64,2000,8000,62,47
44,hp,3000/88,3000,8000,64,54
45,honeywell,dps:6/35,1000,3000,16,23
46,honeywell,dps:6/92,1000,4000,38,30
47,honeywell,dps:6/96,1000,16000,38,73
48,honeywell,dps:7/35,1000,2000,16,20
49,honeywell,dps:7/45,1000,4000,22,25
50,honeywell,dps:7/55,2000,4000,29,28
51,honeywell,dps:7/65,2000,4000,40,29
52,honeywell,dps:8/44,2000,4000,35,32
53,honeywell,dps:8/49,2000,32000,134,175
54,honeywell,dps:8/50,2000,8000,66,57
55,honeywell,dps:8/52,2000,32000,141,181
56,honeywell,dps:8/62,2000,32000,189,181
57,honeywell,dps:8/20,2000,4000,22,32
58,ibm,3033:s,4000,16000,132,82
59,ibm,3033:u,4000,24000,237,171
60,ibm,3081,16000,32000,465,361
61,ibm,3081:d,16000,32000,465,350
62,ibm,3083:b,8000,32000,277,220
63,ibm,3083:e,8000,16000,185,113
64,ibm,370/148,1000,2000,24,21
65,ibm,38/7,2000,4000,32,28
66,ibm,38/8,4000,8000,32,45
67,ibm,4321,1000,1000,11,18
68,ibm,4331-11,1000,4000,18,26
69,ibm,4331-2,1000,4000,22,28
70,ibm,4341,2000,4000,37,28
71,ibm,4341-1,2000,4000,40,31
72,ibm,4341-10,2000,4000,34,31
73,ibm,4341-11,2000,8000,50,42
74,ibm,4341-12,2000,16000,76,76
75,ibm,4341-2,2000,16000,66,76
76,ibm,4341-9,1000,4000,24,26
77,ibm,4361-4,2000,12000,49,59
78,ibm,4361-5,2000,12000,66,65
79,ibm,4381-1,4000,16000,100,101
80,ibm,4381-2,4000,16000,133,116
81,ipl,4436,2000,4000,27,30
82,ipl,4443,2000,8000,45,44
83,ipl,4445,2000,8000,56,44
84,ipl,4446,2000,16000,70,82
85,ipl,4460,2000,16000,80,82
86,ipl,4480,8000,16000,136,128
87,magnuson,m80/30,1000,8000,16,37
88,magnuson,m80/31,1000,8000,26,46
89,magnuson,m80/32,1000,8000,32,46
90,magnuson,m80/42,2000,16000,45,80
91,magnuson,m80/43,2000,16000,54,88
92,magnuson,m80/44,2000,16000,65,88
93,nas,as/3000,2000,8000,50,46
94,nas,as/3000-n,2000,4000,40,29
95,nas,as/5000,2000,8000,62,53
96,nas,as/5000-e,2000,8000,60,53
